market,side,size,entry_price,realised_pnl,trade_pnl,funding_fees,trading_fees,exit_price,exit_type,closed_at
AVAX-USD,LONG,3.6,13.551,-0.018353,0.0036,0,-0.021953,13.552,TRADE,2025-12-08T16:13:47.242Z
APEX-USD,LONG,90,0.55233,-0.020569,0.0018,0,-0.022369,0.55235,TRADE,2025-12-08T16:13:46.441Z
ADA-USD,LONG,114,0.4341,-0.010871,0.0114,0,-0.022271,0.4342,TRADE,2025-12-08T15:09:49.251Z
APT-USD,LONG,28,1.7711,-0.019515,0.0028,0,-0.022315,1.7712,TRADE,2025-12-08T15:09:48.201Z
WLD-USD,LONG,83,0.5951,-0.030524,-0.0083,0,-0.022224,0.595,TRADE,2025-12-08T15:01:58.356Z
ADA-USD,LONG,115,0.4352,-0.06851,-0.046,0,-0.02251,0.4348,TRADE,2025-12-08T14:09:38.685Z
APT-USD,LONG,28.3,1.7697,-0.079123,-0.0566,0,-0.022523,1.7677,TRADE,2025-12-08T14:09:37.757Z
TIA-USD,LONG,85,0.5884,-0.039502,-0.017,0,-0.022502,0.5882,TRADE,2025-12-08T13:59:18.544Z
APT-USD,LONG,28.1,1.7742,-0.115143,-0.09273,0,-0.022413,1.7709,TRADE,2025-12-08T13:52:30.080Z
AVAX-USD,LONG,3.6,13.734,-0.056241,-0.034,0,-0.022241,13.725,TRADE,2025-12-08T13:52:31.074Z
SUI-USD,LONG,30,1.6179,-0.036837,-0.015,0,-0.021837,1.6174,TRADE,2025-12-08T13:52:30.080Z
APEX-USD,LONG,45,0.5681,0.014131,0.03689,0,-0.022759,0.56851,TRADE,2025-12-08T13:47:38.890Z
LDO-USD,LONG,83,0.6002,-0.030714,-0.0083,0,-0.022414,0.6001,TRADE,2025-12-08T13:32:17.855Z
ONDO-USD,LONG,204,0.4921,-0.603051,-0.558,0,-0.045051,0.4894,TRADE,2025-12-08T13:16:38.084Z
ADA-USD,LONG,232,0.4332,-0.11481,-0.0696,0,-0.04521,0.4329,TRADE,2025-12-08T13:08:51.926Z
BERA-USD,LONG,119,0.8454,-0.057167,-0.0119,0,-0.045267,0.8453,TRADE,2025-12-08T13:08:51.866Z
ONDO-USD,LONG,204,0.4956,-0.047895,-0.0024,0,-0.045495,0.4956,TRADE,2025-12-08T13:08:51.773Z
ONDO-USD,LONG,197,0.4982,-0.930465,-0.8865,0,-0.043965,0.4937,TRADE,2025-12-08T12:53:23.563Z
SPX-USD,SHORT,145,0.69135,0.011453,0.05655,0,-0.045097,0.69096,TRADE,2025-12-08T12:53:23.562Z
BERA-USD,LONG,117,0.8425,0.096012,0.1404,0,-0.044388,0.8437,TRADE,2025-12-08T12:52:38.118Z
WLD-USD,LONG,18,0.5912,-0.010187,-0.0054,0,-0.004787,0.5909,TRADE,2025-12-08T12:37:56.618Z
TIA-USD,LONG,18,0.5852,-0.017337,-0.0126,0,-0.004737,0.5845,TRADE,2025-12-08T12:38:00.353Z
ZEC-USD,SHORT,0.1,387.679,0.478267,0.4956,0,-0.017333,382.723,TRADE,2025-12-08T12:26:11.500Z
JUP-USD,SHORT,48,0.2277,-0.01452,-0.0096,0,-0.00492,0.2279,TRADE,2025-12-08T12:26:11.499Z
APT-USD,LONG,6.2,1.7623,-0.003676,0.00124,0,-0.004916,1.7625,TRADE,2025-12-08T12:08:07.933Z
APT-USD,LONG,6.1,1.7611,-0.009103,-0.00427,0,-0.004833,1.7604,TRADE,2025-12-08T12:00:51.400Z
ENA-USD,SHORT,100,0.2763,0.038579,0.051,0,-0.012421,0.27579,TRADE,2025-12-08T12:01:06.008Z
ENA-USD,SHORT,100,0.27608,-0.040429,-0.028,0,-0.012429,0.27636,TRADE,2025-12-08T11:57:06.962Z
ZRO-USD,LONG,42,1.3968,-0.001204,0.0252,0,-0.026404,1.3974,TRADE,2025-12-08T11:42:51.174Z
RESOLV-USD,LONG,720,0.0819,-0.252084,-0.2256,0,-0.026484,0.08159,TRADE,2025-12-08T11:42:54.884Z
APEX-USD,LONG,103,0.5763,-0.008174,0.01854,0,-0.026714,0.57648,TRADE,2025-12-08T11:24:04.724Z
BERA-USD,LONG,70,0.8515,-0.145795,-0.119,0,-0.026795,0.8498,TRADE,2025-12-08T11:24:08.439Z
WLFI-USD,SHORT,400,0.14982,0.04505,0.072,0,-0.02695,0.14964,TRADE,2025-12-08T11:24:28.505Z
WLFI-USD,SHORT,400,0.1497,-0.082958,-0.056,0,-0.026958,0.14984,TRADE,2025-12-08T11:18:58.281Z
FARTCOIN-USD,LONG,148,0.40004,0.004431,0.03108,0,-0.026649,0.40025,TRADE,2025-12-08T11:17:43.710Z
ZRO-USD,LONG,42,1.4001,-0.16083,-0.1344,0,-0.02643,1.3969,TRADE,2025-12-08T11:17:39.944Z
ZRO-USD,LONG,42,1.4015,-0.061808,-0.0378,0.002471,-0.026479,1.4006,TRADE,2025-12-08T11:00:43.427Z
MON-USD,LONG,2070,0.02871,0.096655,0.1242,-0.000775,-0.02677,0.02877,TRADE,2025-12-08T11:00:39.614Z
WLFI-USD,SHORT,400,0.15033,-0.039061,-0.012,0,-0.027061,0.15036,TRADE,2025-12-08T10:47:06.568Z
BERA-USD,LONG,70,0.8512,0.00818,0.035,0,-0.02682,0.8517,TRADE,2025-12-08T10:46:31.011Z
ENA-USD,LONG,210,0.27891,-0.00746,0.0189,0,-0.02636,0.279,TRADE,2025-12-08T10:46:27.319Z
WLFI-USD,SHORT,400,0.15041,-0.123094,-0.096,0,-0.027094,0.15065,TRADE,2025-12-08T10:34:48.861Z
BERA-USD,LONG,70,0.8519,-0.054828,-0.028,0,-0.026828,0.8515,TRADE,2025-12-08T10:34:13.071Z
ADA-USD,LONG,137,0.4335,0.00067,0.0274,0,-0.02673,0.4337,TRADE,2025-12-08T10:34:16.771Z
NEAR-USD,LONG,33,1.7771,-0.092374,-0.066,0,-0.026374,1.7751,TRADE,2025-12-08T10:23:14.529Z
JUP-USD,SHORT,264,0.2281,-0.132721,-0.1056,0,-0.027121,0.2285,TRADE,2025-12-08T10:23:49.758Z
BERA-USD,LONG,69,0.8546,-0.061026,-0.0345,0,-0.026526,0.8541,TRADE,2025-12-08T10:23:10.750Z
IP-USD,LONG,27,2.1303,-0.039379,-0.0135,0,-0.025879,2.1298,TRADE,2025-12-07T21:38:43.146Z
IP-USD,LONG,27,2.1407,-0.047603,-0.0216,0,-0.026003,2.1399,TRADE,2025-12-07T21:29:22.364Z
LINEA-USD,LONG,7500,0.007914,-0.041705,-0.015,0,-0.026705,0.007912,TRADE,2025-12-07T21:29:18.814Z
LTC-USD,LONG,0.72,82.71,-0.055591,-0.0288,0,-0.026791,82.67,TRADE,2025-12-07T21:29:25.916Z
NEAR-USD,SHORT,34,1.7543,0.013969,0.0408,0,-0.026831,1.7531,TRADE,2025-12-07T21:24:28.615Z
IP-USD,LONG,27,2.1461,-0.063866,-0.0378,0,-0.026066,2.1447,TRADE,2025-12-07T21:23:43.716Z
ENA-USD,LONG,210,0.279,-0.034762,-0.0084,0,-0.026362,0.27896,TRADE,2025-12-07T21:23:47.244Z
IP-USD,LONG,27,2.1483,-0.061193,-0.0351,0,-0.026093,2.147,TRADE,2025-12-07T21:18:55.875Z
NEAR-USD,SHORT,34,1.7663,-0.159654,-0.1326,0,-0.027054,1.7702,TRADE,2025-12-07T21:19:20.660Z
1000SHIB-USD,LONG,7000,0.008508,-0.0268,0,0,-0.0268,0.008508,TRADE,2025-12-07T21:18:40.162Z
NEAR-USD,SHORT,34,1.7697,-0.057683,-0.0306,0,-0.027083,1.7706,TRADE,2025-12-07T21:14:48.815Z
LINEA-USD,LONG,7500,0.007942,-0.049299,-0.0225,0,-0.026799,0.007939,TRADE,2025-12-07T21:14:10.221Z
IP-USD,LONG,27,2.1591,-0.039729,-0.0135,0,-0.026229,2.1586,TRADE,2025-12-07T21:09:18.355Z
APT-USD,LONG,33.9,1.7554,-0.081006,-0.05424,0,-0.026766,1.7538,TRADE,2025-12-07T21:09:14.810Z
RESOLV-USD,LONG,800,0.07406,-0.07635,-0.0497,0,-0.02665,0.074,TRADE,2025-12-07T21:09:11.250Z
LINEA-USD,LONG,7400,0.007985,-0.218946,-0.1924,0,-0.026546,0.007959,TRADE,2025-12-07T21:00:34.840Z
RESOLV-USD,LONG,800,0.07385,0.0221,0.04,0.008695,-0.026595,0.0739,TRADE,2025-12-07T21:00:38.386Z
1000BONK-USD,LONG,6200,0.009495,-0.138065,-0.1116,0,-0.026465,0.009477,TRADE,2025-12-07T20:45:40.055Z
TIA-USD,LONG,101,0.5847,-0.127551,-0.101,0,-0.026551,0.5837,TRADE,2025-12-07T20:45:32.838Z
IP-USD,LONG,27,2.1694,-0.148729,-0.1224,0,-0.026329,2.1649,TRADE,2025-12-07T20:45:36.202Z
STRK-USD,LONG,510,0.11508,-0.046805,-0.0204,0,-0.026405,0.11504,TRADE,2025-12-07T20:31:33.514Z
IP-USD,LONG,27,2.1647,-0.042496,-0.0162,0,-0.026296,2.1641,TRADE,2025-12-07T20:31:29.935Z
IP-USD,LONG,27,2.1658,-0.067905,-0.0416,0,-0.026305,2.1643,TRADE,2025-12-07T20:13:20.722Z
MON-USD,LONG,2210,0.02688,-0.159302,-0.1326,0,-0.026702,0.02682,TRADE,2025-12-07T20:13:17.173Z
RESOLV-USD,LONG,800,0.07377,-0.09854,-0.072,0,-0.02654,0.07368,TRADE,2025-12-07T19:40:05.526Z
ZEC-USD,LONG,0.1,346.747,0.032387,0.048,0,-0.015613,347.227,TRADE,2025-12-07T19:40:05.418Z
WLFI-USD,LONG,390,0.15087,0.043708,0.0702,0,-0.026492,0.15105,TRADE,2025-12-07T19:27:05.676Z
IP-USD,LONG,27,2.1658,-0.056007,-0.0297,0,-0.026307,2.1647,TRADE,2025-12-07T19:12:22.883Z
RESOLV-USD,LONG,810,0.07338,-0.09963,-0.0729,0,-0.02673,0.07329,TRADE,2025-12-07T19:12:30.019Z
LDO-USD,LONG,100,0.5931,-0.046684,-0.02,0,-0.026684,0.5929,TRADE,2025-12-07T19:12:26.449Z
IP-USD,LONG,27,2.1708,-0.052369,-0.026,0,-0.026369,2.1699,TRADE,2025-12-07T19:02:43.492Z
IP-USD,LONG,27,2.1846,-0.069732,-0.0432,0,-0.026532,2.183,TRADE,2025-12-07T18:34:31.760Z
RESOLV-USD,LONG,810,0.07353,-0.075389,-0.0486,0,-0.026789,0.07347,TRADE,2025-12-07T18:34:35.328Z
OP-USD,LONG,189,0.3142,-0.102305,-0.0756,0,-0.026705,0.3138,TRADE,2025-12-07T18:20:15.640Z
IP-USD,LONG,28,2.1039,-0.032107,-0.0056,0,-0.026507,2.1037,TRADE,2025-12-07T17:07:50.855Z
EDEN-USD,LONG,800,0.07394,-0.1066,-0.08,0,-0.0266,0.07384,TRADE,2025-12-07T17:06:46.105Z
RESOLV-USD,LONG,820,0.07191,-0.067525,-0.041,0,-0.026525,0.07186,TRADE,2025-12-07T17:06:49.680Z
IP-USD,LONG,28,2.1139,-0.057229,-0.0306,0,-0.026629,2.1129,TRADE,2025-12-07T17:04:24.873Z
UNI-USD,LONG,10.8,5.5088,-0.045128,-0.01836,0,-0.026768,5.5071,TRADE,2025-12-07T17:04:28.437Z
EDEN-USD,LONG,800,0.07405,-0.050652,-0.024,0,-0.026652,0.07402,TRADE,2025-12-07T17:04:21.310Z
BERA-USD,LONG,70,0.8508,-0.047795,-0.021,0,-0.026795,0.8505,TRADE,2025-12-07T17:04:17.734Z
IP-USD,LONG,28,2.1148,-0.116026,-0.0894,0,-0.026626,2.1117,TRADE,2025-12-07T17:01:00.284Z
BERA-USD,LONG,70,0.8511,-0.15278,-0.126,0,-0.02678,0.8493,TRADE,2025-12-07T17:01:07.359Z
DOGE-USD,LONG,420,0.13916,-0.085087,-0.0588,0,-0.026287,0.13902,TRADE,2025-12-07T17:01:03.831Z
RESOLV-USD,LONG,830,0.07194,-0.043465,-0.0166,0,-0.026865,0.07192,TRADE,2025-12-07T16:59:51.063Z
IP-USD,LONG,28,2.1014,-0.104859,-0.0784,0,-0.026459,2.0986,TRADE,2025-12-07T16:51:55.696Z
EDEN-USD,LONG,800,0.07401,-0.090628,-0.064,0,-0.026628,0.07393,TRADE,2025-12-07T16:51:52.166Z
RESOLV-USD,LONG,820,0.07218,-0.370956,-0.3444,0,-0.026556,0.07176,TRADE,2025-12-07T16:24:04.428Z
EIGEN-USD,LONG,123,0.4838,0.059303,0.0861,0,-0.026797,0.4845,TRADE,2025-12-07T16:18:36.439Z
XRP-USD,LONG,29,2.0424,0.040033,0.0667,0,-0.026667,2.0447,TRADE,2025-12-07T16:18:32.844Z
KAITO-USD,LONG,93,0.6366,0.095728,0.1224,0,-0.026672,0.638,TRADE,2025-12-07T16:18:29.294Z
LINEA-USD,LONG,7600,0.007835,0.056787,0.0836,0,-0.026813,0.007846,TRADE,2025-12-07T16:18:39.997Z
WLFI-USD,SHORT,90,0.14759,-0.372209,-0.3436,-0.001967,-0.026642,0.14844,TRADE,2025-12-07T16:09:35.736Z
AVAX-USD,LONG,4.5,13.086,0.035689,0.0622,0,-0.026511,13.1,TRADE,2025-12-07T15:31:16.761Z
HYPE-USD,LONG,2.09,28.463,-0.060201,-0.03344,0,-0.026761,28.447,TRADE,2025-12-07T15:31:20.298Z
EDEN-USD,LONG,810,0.0735,0.06229,0.0891,0,-0.02681,0.07361,TRADE,2025-12-07T15:31:27.407Z
LINEA-USD,LONG,7600,0.007767,-0.003767,0.0228,0,-0.026567,0.00777,TRADE,2025-12-07T15:31:23.848Z
ONDO-USD,LONG,131,0.4522,-0.092141,-0.0655,0,-0.026641,0.4517,TRADE,2025-12-07T15:19:09.772Z
EDEN-USD,LONG,810,0.07304,-0.241975,-0.2154,0,-0.026575,0.07278,TRADE,2025-12-07T15:19:06.215Z
AERO-USD,LONG,91,0.65146,-0.056699,-0.03003,0,-0.026669,0.65113,TRADE,2025-12-07T15:19:02.592Z
NEAR-USD,LONG,35,1.6642,-0.092695,-0.0665,0,-0.026195,1.6623,TRADE,2025-12-07T15:18:59.012Z
LINEA-USD,LONG,7600,0.007759,-0.049329,-0.0228,0,-0.026529,0.007756,TRADE,2025-12-07T15:18:55.475Z
APT-USD,LONG,35.5,1.6791,0.022867,0.0497,0,-0.026833,1.6805,TRADE,2025-12-07T14:48:45.689Z
WLFI-USD,SHORT,410,0.14675,-0.166506,-0.1394,0,-0.027106,0.14709,TRADE,2025-12-07T14:48:45.301Z
XPL-USD,LONG,360,0.16524,0.052414,0.0792,0,-0.026786,0.16546,TRADE,2025-12-07T14:41:19.943Z
JUP-USD,LONG,276,0.2152,0.000867,0.0276,0,-0.026733,0.2153,TRADE,2025-12-07T14:41:17.135Z
LINEA-USD,LONG,7700,0.007712,-0.134497,-0.1078,0,-0.026697,0.007698,TRADE,2025-12-07T14:41:22.786Z
AVNT-USD,LONG,195,0.3049,-0.124232,-0.0975,0,-0.026732,0.3044,TRADE,2025-12-07T14:41:14.307Z
WLFI-USD,SHORT,400,0.14751,-0.037787,-0.012,0.000766,-0.026553,0.14754,TRADE,2025-12-07T13:02:15.340Z
ENA-USD,LONG,220,0.26117,0.033844,0.055,0.004711,-0.025867,0.26142,TRADE,2025-12-07T13:02:15.113Z
ZORA-USD,LONG,1200,0.047655,-0.043331,-0.0216,0.003996,-0.025727,0.047637,TRADE,2025-12-07T13:02:15.359Z
GRASS-USD,LONG,1520,0.3273,-1.74353,-1.52,0,-0.22353,0.3263,TRADE,2025-12-07T12:43:35.818Z
EIGEN-USD,LONG,999,0.4977,-0.423495,-0.1998,0,-0.223695,0.4975,TRADE,2025-12-07T12:35:17.056Z
LTC-USD,LONG,6.07,81.76,-0.284013,-0.0607,0,-0.223313,81.75,TRADE,2025-12-07T12:06:18.219Z
ONDO-USD,LONG,1080,0.4599,-0.547437,-0.324,0,-0.223437,0.4596,TRADE,2025-12-07T11:58:27.050Z
XPL-USD,LONG,2830,0.17557,-0.365056,-0.1415,0,-0.223556,0.17552,TRADE,2025-12-07T11:57:57.037Z
EDEN-USD,LONG,6520,0.07606,-0.875013,-0.652,0,-0.223013,0.07596,TRADE,2025-12-07T11:52:53.804Z
ONDO-USD,LONG,1081,0.4593,-0.331501,-0.1081,0,-0.223401,0.4592,TRADE,2025-12-07T11:52:57.288Z
CRV-USD,SHORT,1311,0.3837,-0.493736,-0.26731,0,-0.226426,0.38391,TRADE,2025-12-07T11:53:16.774Z
WLFI-USD,LONG,3380,0.14691,-0.291032,-0.0676,0,-0.223432,0.14689,TRADE,2025-12-07T11:52:41.947Z
EIGEN-USD,LONG,998,0.4972,-0.622402,-0.3992,0,-0.223202,0.4968,TRADE,2025-12-07T11:52:02.033Z
ONDO-USD,LONG,1080,0.4597,-0.655316,-0.432,0,-0.223316,0.4593,TRADE,2025-12-07T11:48:11.047Z
TIA-USD,LONG,871,0.5701,-0.920093,-0.6968,0,-0.223293,0.5693,TRADE,2025-12-07T11:48:08.219Z
AVAX-USD,LONG,37.2,13.347,-0.59186,-0.3685,0,-0.22336,13.338,TRADE,2025-12-07T11:38:27.634Z
EIGEN-USD,LONG,999,0.4976,-0.623206,-0.3996,0,-0.223606,0.4972,TRADE,2025-12-07T11:11:59.212Z
ENA-USD,LONG,310,0.25875,-0.24149,-0.0191,0,-0.22239,0.25874,TRADE,2025-12-07T11:04:19.365Z
AVNT-USD,LONG,1576,0.3152,-1.168926,-0.9456,0,-0.223326,0.3146,TRADE,2025-12-07T10:45:06.607Z
XPL-USD,LONG,1760,0.17405,-0.463067,-0.2399,0,-0.223167,0.17396,TRADE,2025-12-07T10:35:54.984Z
ONDO-USD,LONG,1080,0.4596,-0.547291,-0.324,0,-0.223291,0.4593,TRADE,2025-12-07T10:36:14.555Z
1000SHIB-USD,LONG,59100,0.008403,-0.400737,-0.1773,0,-0.223437,0.0084,TRADE,2025-12-07T10:28:23.004Z
AVNT-USD,LONG,1563,0.3149,-0.693661,-0.4703,0,-0.223361,0.3146,TRADE,2025-12-07T10:28:15.941Z
ONDO-USD,LONG,1078,0.4605,-0.654491,-0.4312,0,-0.223291,0.4601,TRADE,2025-12-07T10:28:21.883Z
RESOLV-USD,LONG,4280,0.07382,-0.850009,-0.6269,0,-0.223109,0.07373,TRADE,2025-12-07T10:28:05.540Z
XPL-USD,LONG,1800,0.17519,-0.485444,-0.2624,0,-0.223044,0.17509,TRADE,2025-12-07T10:27:24.939Z
ZORA-USD,LONG,1900,0.047267,-0.261626,-0.0383,0,-0.223326,0.047263,TRADE,2025-12-07T10:23:35.843Z
XRP-USD,LONG,99,2.0319,-0.247496,-0.0244,0,-0.223096,2.0318,TRADE,2025-12-07T10:17:22.862Z
LTC-USD,LONG,3.88,81.48,-0.262085,-0.0388,0,-0.223285,81.47,TRADE,2025-12-07T09:50:22.017Z
MEGA-USD,SHORT,693,0.30189,-3.556498,-3.32874,0,-0.227758,0.30388,TRADE,2025-12-07T09:45:01.271Z
XPL-USD,LONG,560,0.17378,-0.447611,-0.224,0,-0.223611,0.1737,TRADE,2025-12-07T09:43:22.506Z
TIA-USD,LONG,870,0.5704,-0.310291,-0.087,0,-0.223291,0.5703,TRADE,2025-12-07T09:43:12.465Z
S-USD,LONG,5280,0.09404,-0.645743,-0.4224,0,-0.223343,0.09396,TRADE,2025-12-07T09:43:01.388Z
AVNT-USD,LONG,1558,0.3183,-1.001983,-0.779,0,-0.222983,0.3178,TRADE,2025-12-07T09:44:06.319Z
ADA-USD,LONG,1196,0.4155,-0.223622,0,0,-0.223622,0.4155,TRADE,2025-12-07T09:44:03.493Z
XRP-USD,LONG,245,2.0282,-0.003158,0.2205,0,-0.223658,2.0291,TRADE,2025-12-07T09:44:00.665Z
AVNT-USD,LONG,1555,0.3196,-0.690034,-0.4665,0,-0.223534,0.3193,TRADE,2025-12-07T09:35:12.777Z
RESOLV-USD,LONG,6770,0.07336,-0.50023,-0.2768,0,-0.22343,0.07332,TRADE,2025-12-07T09:16:01.155Z
AVNT-USD,LONG,990,0.3199,-0.534091,-0.3106,0,-0.223491,0.3197,TRADE,2025-12-07T09:15:56.624Z
TRUMP-USD,LONG,87,5.68,-0.483313,-0.261,0,-0.222313,5.677,TRADE,2025-12-07T09:15:53.812Z
HYPE-USD,LONG,16.74,29.676,0.245066,0.46872,0,-0.223654,29.704,TRADE,2025-12-07T09:15:59.399Z
LINEA-USD,LONG,24500,0.008022,-0.433603,-0.2102,0,-0.223403,0.008018,TRADE,2025-12-07T09:11:55.327Z
HYPE-USD,LONG,16.81,29.555,0.465487,0.68921,0,-0.223723,29.596,TRADE,2025-12-07T09:11:52.495Z
HYPE-USD,LONG,16.71,29.749,-0.34064,-0.11697,0,-0.22367,29.742,TRADE,2025-12-07T09:05:02.360Z
TAO-USD,LONG,1.12,282.28,-0.639271,-0.4158,0,-0.223471,282.04,TRADE,2025-12-07T09:04:42.543Z
LTC-USD,LONG,3.86,81.96,0.90133,1.089,0.03571,-0.22338,82.14,TRADE,2025-12-07T09:03:33.372Z
ZORA-USD,SHORT,10500,0.047843,-0.071309,0.1482,0.006515,-0.226024,0.047829,TRADE,2025-12-07T09:03:33.092Z
IP-USD,SHORT,153,2.2186,-0.063805,0.1648,-0.003012,-0.225593,2.2178,TRADE,2025-12-07T09:03:33.125Z
LINEA-USD,LONG,61700,0.008054,-1.025538,-0.8021,0,-0.223438,0.008041,TRADE,2025-12-07T08:57:32.726Z
RESOLV-USD,LONG,4350,0.07274,-1.039089,-0.8157,0,-0.223389,0.07262,TRADE,2025-12-07T08:57:29.921Z
MNT-USD,LONG,463,1.07151,-0.760207,-0.53708,0,-0.223127,1.07035,TRADE,2025-12-07T08:57:27.134Z
CRV-USD,SHORT,1309,0.38395,-0.199978,0.02618,0,-0.226158,0.38393,TRADE,2025-12-07T08:45:58.197Z
1000SHIB-USD,SHORT,38200,0.008443,-0.436309,-0.2102,0,-0.226109,0.008446,TRADE,2025-12-07T08:45:58.005Z
RESOLV-USD,LONG,4300,0.07338,-0.499541,-0.2767,0,-0.222841,0.07334,TRADE,2025-12-07T08:45:00.747Z
LINEA-USD,LONG,39200,0.008069,-0.653711,-0.4305,0,-0.223211,0.008062,TRADE,2025-12-07T08:44:24.679Z
AVNT-USD,LONG,963,0.3209,-0.47458,-0.2511,0,-0.22348,0.3207,TRADE,2025-12-07T08:44:58.033Z
RESOLV-USD,LONG,6740,0.07348,-0.647376,-0.4246,0,-0.222776,0.07342,TRADE,2025-12-07T08:41:15.810Z
EDEN-USD,LONG,6480,0.07658,-0.547233,-0.324,0,-0.223233,0.07653,TRADE,2025-12-07T08:41:16.035Z
LINEA-USD,LONG,16800,0.008086,-0.362983,-0.1396,0,-0.223383,0.008083,TRADE,2025-12-07T08:41:15.566Z
IP-USD,LONG,144,2.1982,-0.670863,-0.4474,0,-0.223463,2.1963,TRADE,2025-12-07T08:40:56.869Z
ADA-USD,LONG,1183,0.4204,-1.761352,-1.5379,0,-0.223452,0.4191,TRADE,2025-12-07T07:55:23.221Z
IP-USD,LONG,225,2.2059,-0.545476,-0.3222,0,-0.223276,2.2045,TRADE,2025-12-07T07:54:51.276Z
APEX-USD,LONG,932,0.53209,-0.549284,-0.3262,0,-0.223084,0.53174,TRADE,2025-12-07T07:52:35.184Z
EDEN-USD,LONG,6440,0.07694,-1.317525,-1.0948,0,-0.222725,0.07677,TRADE,2025-12-07T07:54:54.104Z
POPCAT-USD,LONG,4836,0.10282,0.066339,0.29016,0,-0.223821,0.10288,TRADE,2025-12-07T07:54:48.395Z
APEX-USD,LONG,933,0.5328,-1.31506,-1.09161,0,-0.22345,0.53163,TRADE,2025-12-07T07:51:06.567Z
LINEA-USD,LONG,61500,0.008078,-0.530989,-0.3075,0,-0.223489,0.008073,TRADE,2025-12-07T07:48:51.920Z
HYPE-USD,LONG,16.21,30.659,0.343581,0.56735,0,-0.223769,30.694,TRADE,2025-12-07T07:51:12.233Z
EIGEN-USD,LONG,990,0.5015,0.638177,0.8618,0,-0.223623,0.5024,TRADE,2025-12-07T07:51:09.396Z
ARB-USD,LONG,2385,0.2083,0.491783,0.7155,0,-0.223717,0.2086,TRADE,2025-12-07T07:51:03.743Z
JUP-USD,LONG,2208,0.225,-0.708069,-0.4846,0,-0.223469,0.2248,TRADE,2025-12-07T07:39:59.774Z
ETH-USD,LONG,0.163,3033.7,-0.238817,-0.0163,0,-0.222517,3033.6,TRADE,2025-12-07T07:40:02.612Z
WLD-USD,LONG,859,0.5781,-0.395225,-0.1718,0,-0.223425,0.5779,TRADE,2025-12-07T07:39:56.937Z
XAU-USD,LONG,0.094,4204.8,-0.927816,-0.7047,0,-0.223116,4198.8,TRADE,2025-12-07T07:38:41.557Z
OP-USD,LONG,1003,0.3158,-0.481079,-0.2576,0,-0.223479,0.3156,TRADE,2025-12-07T07:39:54.099Z
AVNT-USD,LONG,1548,0.3209,-0.533067,-0.3096,0,-0.223467,0.3207,TRADE,2025-12-07T07:29:34.590Z
ARB-USD,LONG,1182,0.2101,-0.348098,-0.2364,0,-0.111698,0.2099,TRADE,2025-12-07T07:05:46.937Z
POPCAT-USD,LONG,2468,0.10074,1.784802,1.90036,-0.00325,-0.112308,0.10151,TRADE,2025-12-06T18:31:44.017Z
BTC-USD,LONG,0.00066,89734,-0.02731,-0.00066,0,-0.02665,89733,TRADE,2025-12-06T17:09:12.676Z
TAO-USD,LONG,0.21,283.52,-0.024692,0.0021,0,-0.026792,283.53,TRADE,2025-12-06T17:09:09.838Z
POPCAT-USD,LONG,591,0.10105,-0.062326,-0.03546,0,-0.026866,0.10099,TRADE,2025-12-06T17:09:06.986Z
1000PEPE-USD,LONG,6700,0.004428,-0.020048,-0.0067,0,-0.013348,0.004427,TRADE,2025-12-06T16:36:02.512Z
TIA-USD,LONG,51,0.5765,-0.033625,-0.0204,0,-0.013225,0.5761,TRADE,2025-12-06T16:35:59.692Z
MON-USD,LONG,1120,0.02663,-0.136593,-0.1232,0,-0.013393,0.02652,TRADE,2025-12-06T16:35:56.882Z
EIGEN-USD,SHORT,197,0.5087,-0.261844,-0.2167,0,-0.045144,0.5098,TRADE,2025-12-06T16:34:56.125Z
ZORA-USD,SHORT,2100,0.047325,0.194732,0.2394,0,-0.044668,0.047211,TRADE,2025-12-06T16:34:56.143Z
TIA-USD,LONG,172,0.5772,-0.096263,-0.0516,0,-0.044663,0.5769,TRADE,2025-12-06T16:28:34.407Z
EIGEN-USD,SHORT,197,0.5095,0.033652,0.0788,0,-0.045148,0.5091,TRADE,2025-12-06T16:27:13.010Z
RESOLV-USD,LONG,1290,0.07644,-0.018578,0.0258,0,-0.044378,0.07646,TRADE,2025-12-06T16:24:59.077Z
IP-USD,LONG,44,2.2247,-0.052846,-0.0088,0,-0.044046,2.2245,TRADE,2025-12-06T16:24:56.238Z
1000PEPE-USD,LONG,22400,0.004423,-0.022187,0.0224,0,-0.044587,0.004424,TRADE,2025-12-06T16:17:38.588Z
RESOLV-USD,LONG,1290,0.07636,-0.186194,-0.1419,0,-0.044294,0.07625,TRADE,2025-12-06T16:17:39.009Z
IP-USD,LONG,44,2.2224,-0.044002,0,0,-0.044002,2.2224,TRADE,2025-12-06T16:17:38.810Z
AVNT-USD,LONG,297,0.3337,-0.163371,-0.1188,0,-0.044571,0.3333,TRADE,2025-12-06T16:10:49.470Z
RESOLV-USD,LONG,1290,0.07669,-0.031621,0.0129,0,-0.044521,0.0767,TRADE,2025-12-06T16:10:40.716Z
TIA-USD,LONG,172,0.5778,-0.079113,-0.0344,0,-0.044713,0.5776,TRADE,2025-12-06T16:10:43.629Z
POPCAT-USD,SHORT,1000,0.10067,-0.245345,-0.2,0,-0.045345,0.10087,TRADE,2025-12-06T16:09:44.377Z
