market,side,size,entry_price,realised_pnl,trade_pnl,funding_fees,trading_fees,exit_price,exit_type,closed_at
APEX-USD,LONG,77,0.51885,0.029752,0.04774,0,-0.017988,0.51947,TRADE,2025-12-13T11:35:04.140Z
EDEN-USD,LONG,600,0.0665,-0.005957,0.012,0,-0.017957,0.06652,TRADE,2025-12-13T11:26:21.917Z
AVNT-USD,LONG,139,0.2872,-0.031861,-0.0139,0,-0.017961,0.2871,TRADE,2025-12-13T11:26:21.912Z
CRV-USD,LONG,99,0.4004,-0.037632,-0.0198,0,-0.017832,0.4002,TRADE,2025-12-13T11:20:38.504Z
TRX-USD,LONG,140,0.27251,-0.038163,-0.021,0,-0.017163,0.27236,TRADE,2025-12-13T11:10:58.018Z
TIA-USD,LONG,68,0.5829,-0.038231,-0.0204,0,-0.017831,0.5826,TRADE,2025-12-13T11:10:58.043Z
CRV-USD,LONG,99,0.40055,-0.052486,-0.03465,0,-0.017836,0.4002,TRADE,2025-12-13T11:10:58.025Z
TRUMP-USD,LONG,7,5.572,-0.034547,-0.017,0,-0.017547,5.57,TRADE,2025-12-13T11:10:58.010Z
SEI-USD,LONG,300,0.12996,-0.03254,-0.015,0,-0.01754,0.12991,TRADE,2025-12-13T11:10:58.001Z
AVNT-USD,LONG,139,0.2867,-0.045726,-0.0278,0,-0.017926,0.2865,TRADE,2025-12-13T10:57:49.201Z
PENDLE-USD,LONG,18,2.175,-0.024815,-0.0072,0,-0.017615,2.1746,TRADE,2025-12-13T10:57:49.967Z
TIA-USD,LONG,68,0.5838,-0.051856,-0.034,0,-0.017856,0.5833,TRADE,2025-12-13T10:57:49.967Z
TIA-USD,LONG,42,0.5844,-0.006845,0.0042,0,-0.011045,0.5845,TRADE,2025-12-13T10:35:19.774Z
TRX-USD,LONG,100,0.27233,-0.016253,-0.004,0,-0.012253,0.27229,TRADE,2025-12-13T10:35:20.553Z
TIA-USD,LONG,42,0.5821,-0.027797,-0.0168,0,-0.010997,0.5817,TRADE,2025-12-13T10:01:27.828Z
PENDLE-USD,LONG,11,2.1627,-0.017303,-0.0066,0,-0.010703,2.1621,TRADE,2025-12-13T10:01:26.937Z
TRX-USD,LONG,100,0.27294,-0.039276,-0.027,0,-0.012276,0.27267,TRADE,2025-12-13T09:55:02.176Z
EIGEN-USD,LONG,55,0.4519,-0.033179,-0.022,0,-0.011179,0.4515,TRADE,2025-12-13T09:38:08.692Z
