Market,Side,Date,Position Size,Payment,Rate
WLD,short,2025-12-09 01:00:00,83.0,0.000606,0.000012%
ZEC,short,2025-12-09 00:00:00,0.100,-0.000486,-0.000012%
MNT,short,2025-12-09 00:00:00,45.0,-0.000295,-0.000006%
RESOLV,short,2025-12-09 00:00:00,630,0.000599,0.000012%
ENA,short,2025-12-09 00:00:00,180.0,0.000589,0.000012%
WLD,short,2025-12-09 00:00:00,83.0,0.000613,0.000012%
ZEC,short,2025-12-08 23:00:00,0.100,-0.003393,-0.000082%
MNT,short,2025-12-08 23:00:00,45.0,-0.000792,-0.000016%
RESOLV,short,2025-12-08 23:00:00,630,0.000598,0.000012%
ENA,short,2025-12-08 23:00:00,180.0,0.000296,0.000006%
WLD,short,2025-12-08 23:00:00,83.0,0.000610,0.000012%
ZEC,short,2025-12-08 22:00:00,0.100,-0.002704,-0.000065%
MNT,short,2025-12-08 22:00:00,45.0,0.000400,0.000008%
RESOLV,short,2025-12-08 22:00:00,630,0.000592,0.000012%
ENA,short,2025-12-08 22:00:00,180.0,0.000598,0.000012%
WLD,short,2025-12-08 22:00:00,83.0,0.000602,0.000012%
ZEC,short,2025-12-08 18:00:00,0.100,-0.004698,-0.000112%
BERA,short,2025-12-08 18:00:00,59.0,-0.005639,-0.000114%
TRUMP,short,2025-12-08 18:00:00,0.05,0.000002,0.000004%
MON,short,2025-12-08 11:00:00,2050.0,-0.000117,-0.000002%
WLFI,long,2025-12-08 11:00:00,5.6,0.000028,-0.000033%
ZRO,short,2025-12-08 11:00:00,42.0,0.000708,0.000012%
LINEA,short,2025-12-07 21:00:00,9,-0.000007,-0.000111%
RESOLV,short,2025-12-07 21:00:00,281,-0.001559,-0.000075%
ZRO,short,2025-12-07 19:00:00,42.0,-0.001649,-0.000028%
ZRO,short,2025-12-07 18:00:00,42.0,0.000176,0.000003%
EIGEN,short,2025-12-07 18:00:00,120.0,-0.000598,-0.000010%
IP,short,2025-12-07 18:00:00,26.00,-0.002486,-0.000044%
WLD,short,2025-12-07 18:00:00,100.0,-0.001762,-0.000030%
WLFI,long,2025-12-07 16:00:00,400.0,0.003161,-0.000053%
FIL,long,2025-12-07 13:00:00,35.3,0.002666,-0.000051%
LINEA,short,2025-12-07 13:00:00,7400,-0.004751,-0.000080%
WLFI,long,2025-12-07 13:00:00,400.0,0.002481,-0.000042%
ZORA,short,2025-12-07 13:00:00,1200,0.000574,0.000010%
SEI,short,2025-12-07 13:00:00,450.0,-0.000586,-0.000010%
ENA,short,2025-12-07 13:00:00,220.0,-0.001612,-0.000028%
SUI,short,2025-12-07 13:00:00,36.0,-0.001547,-0.000027%
LTC,short,2025-12-07 09:00:00,6.100,-0.006510,-0.000013%
POPCAT,short,2025-12-06 18:00:00,2480.0,-0.004022,-0.000016%
WLFI,long,2025-12-06 15:00:00,650.0,0.009378,-0.000096%
AERO,long,2025-12-06 15:00:00,150.0,-0.001233,0.000012%
LTC,long,2025-12-06 15:00:00,1.200,0.001274,-0.000013%
WLFI,long,2025-12-06 14:00:00,650.0,0.007200,-0.000074%
AERO,long,2025-12-06 14:00:00,150.0,0.002330,-0.000023%
LTC,long,2025-12-06 14:00:00,1.200,0.002350,-0.000024%
WLFI,long,2025-12-06 13:00:00,650.0,0.007363,-0.000076%
AERO,long,2025-12-06 13:00:00,150.0,0.008107,-0.000082%
CRV,short,2025-12-06 13:00:00,260.0,-0.009547,-0.000096%
WLFI,long,2025-12-06 12:00:00,650.0,0.006872,-0.000071%
AERO,long,2025-12-06 12:00:00,150.0,0.005354,-0.000054%
KAITO,short,2025-12-06 12:00:00,150.0,-0.015293,-0.000159%
WLFI,short,2025-12-06 11:00:00,200.0,-0.001489,-0.000050%
TRUMP,short,2025-12-06 11:00:00,5.20,-0.001460,-0.000049%
1000PEPE,short,2025-12-06 11:00:00,6500,0.000114,0.000004%
WLFI,short,2025-12-06 07:00:00,200.0,-0.003116,-0.000104%
IP,short,2025-12-06 07:00:00,12.00,-0.001692,-0.000064%
APT,short,2025-12-06 07:00:00,16.00,-0.005013,-0.000182%
EDEN,short,2025-12-06 06:00:00,405.0,0.000092,0.000003%
ONDO,short,2025-12-06 06:00:00,60.0,0.000336,0.000012%
KAITO,short,2025-12-06 06:00:00,40.0,-0.006392,-0.000250%
EDEN,short,2025-12-06 05:00:00,405.0,0.000366,0.000012%
ONDO,short,2025-12-06 05:00:00,60.0,0.000196,0.000007%
KAITO,short,2025-12-06 05:00:00,40.0,-0.007640,-0.000298%
EDEN,short,2025-12-06 04:00:00,405.0,0.000369,0.000012%
ONDO,short,2025-12-06 04:00:00,60.0,0.000338,0.000012%
KAITO,short,2025-12-06 04:00:00,40.0,-0.005312,-0.000207%
EDEN,short,2025-12-06 03:00:00,405.0,-0.001182,-0.000039%
ONDO,short,2025-12-06 03:00:00,60.0,0.000336,0.000012%
KAITO,short,2025-12-06 03:00:00,40.0,-0.006386,-0.000250%
EDEN,short,2025-12-06 02:00:00,405.0,-0.001172,-0.000039%
ONDO,short,2025-12-06 02:00:00,60.0,0.000000,0.000000%
KAITO,short,2025-12-06 02:00:00,40.0,-0.007774,-0.000304%
EDEN,short,2025-12-06 01:00:00,405.0,0.000120,0.000004%
ONDO,short,2025-12-06 01:00:00,60.0,-0.000586,-0.000021%
KAITO,short,2025-12-06 01:00:00,40.0,-0.009015,-0.000352%
EDEN,short,2025-12-06 00:00:00,405.0,0.000362,0.000012%
ONDO,short,2025-12-06 00:00:00,60.0,-0.000556,-0.000020%
KAITO,short,2025-12-06 00:00:00,40.0,-0.007583,-0.000294%
EDEN,short,2025-12-05 23:00:00,405.0,0.000151,0.000005%
ONDO,short,2025-12-05 23:00:00,60.0,-0.000444,-0.000016%
KAITO,short,2025-12-05 23:00:00,40.0,-0.007452,-0.000290%
